id,male,female
3253,62,172
3634,1,0
124066,3,2
1868,64,18
9303,1,0
1401,13,4
1541,342,280
4429,15,77
84086,2,18
627,17,148
10885,12,41
14128,1,1
11861,15,48
491,55,646
4795,7,67
9733,23,74
2020,38,366
1489200,1,4
7239,11,69
13293,10,102
31801,6,71
10608,4,18
7524,13,71
22970,839,4088
17233,64,87
870,43,130
5470,60,515
1375,99,9
9886,35,147
10632,2,6
24585,42,21
4242,10,81
1190,24,25
1469,41,37
1905813,6,4
1937202,1,0
794,201,295
1467,30,109
2292,92,13
12035,3,46
1901491,26,20
27941,0,1
1282,8,19
58973,105,16
4259,132,376
8597,34,151
3579,78,130
1091,131,108
25296,110,39
1941270,9,6
26209,33,98
2028,130,669
22957,2,27
22914,19,60
11664,12,60
1953600,14,59
1657,483,253
35096,1,4
15789,101,117
19712,66,24
37762,6,14
53397,29,6
13279,1,0
36044,4,32
40539,9,21
54337,4,6
34403,36,139
1894361,3,1
1896116,2,9
2789,20,12
1077,61,47
1205001,2,1
6671,10,9
13677,16,23
23740,19,18
1357,9,7
2333,27,17
26301,102,58
38097,9,52
107660,2,3
30548,31,50
28214,8,61
1912,3,18
11521,45,28
16001,3,1
3307,222,36
964,106,14
1960,452,161
3451250,4,0
1939924,11,8
1901066,10,5
1913655,30,8
131901,1,2
5892,69,13
10949,26,27
4858,23,133
14229,1,105
7158,17,17
3701,41,69
2602,142,83
15608,2,25
116303,6,0
58740,24,0
1950391,6,30
31674,5,21
51106,39,7
10798,3,3
1200000,2,1
62275,1,11
1557766,1,17
1215476,2,6
4832,2,42
1919739,2,13
1562,6,142
2057,44,690
9783,67,160
42347,26,144
1206291,9,10
1905436,4,16
1890401,96,214
14592,11,12
6211,14,2
1954,13,14
35098,3,6
804,193,116
26355,16,150
10403,40,213
5786,311,860
9866,45,282
1209267,0,8
10603,31,516
